data,model,block_size,perplexity
pg19,80000_big_rope,1024,22.462985335133382
arxiv,80000_big_rope,1024,6.826080325403325
github,80000_big_rope,1024,3.6612040805415758
pg19,80000_big_rope,2048,40.389622132875886
arxiv,80000_big_rope,2048,13.810773033115419
github,80000_big_rope,2048,8.16016105961284
pg19,80000_big_rope,3072,85.26512291260579
arxiv,80000_big_rope,3072,37.872116029731
github,80000_big_rope,3072,27.088220581599394
pg19,80000_big_rope,4096,129.86607349096533
arxiv,80000_big_rope,4096,68.33404805241526
github,80000_big_rope,4096,55.41393332161013
pg19,80000_big_rope,5120,170.20529551375486
arxiv,80000_big_rope,5120,104.10455761305795
github,80000_big_rope,5120,91.60305638357518
pg19,80000_big_rope,6144,213.62498040575616
arxiv,80000_big_rope,6144,142.8044662945369
github,80000_big_rope,6144,135.84017302139526
pg19,rope,1024,21.2793194139283
arxiv,rope,1024,6.56391763099456
github,rope,1024,3.493906847763603
pg19,rope,2048,43.67082378104593
arxiv,rope,2048,14.818746716291823
github,rope,2048,8.51977162499506
pg19,rope,3072,103.3721625460795
arxiv,rope,3072,44.486469604692736
github,rope,3072,30.68252210965492
pg19,rope,4096,172.17524773249554
arxiv,rope,4096,85.07919552629023
github,rope,4096,66.68650911287817
pg19,rope,5120,243.74238535286761
arxiv,rope,5120,137.20116832493713
github,rope,5120,117.09730509736697
pg19,rope,6144,344.2795694099543
arxiv,rope,6144,202.0211707411217
github,rope,6144,187.0880391656594
pg19,80000_ada_rope,1024,26.11979989967049
arxiv,80000_ada_rope,1024,7.711356340838362
github,80000_ada_rope,1024,4.267845661130498
pg19,80000_ada_rope,2048,59.690497693585115
arxiv,80000_ada_rope,2048,24.350608965421074
github,80000_ada_rope,2048,14.551673485498148
pg19,80000_ada_rope,3072,94.52932851362681
arxiv,80000_ada_rope,3072,48.108774588439566
github,80000_ada_rope,3072,30.520842911628787
pg19,80000_ada_rope,4096,123.43448686453954
arxiv,80000_ada_rope,4096,71.09968515718269
github,80000_ada_rope,4096,47.158631429221245
pg19,80000_ada_rope,5120,145.98332084871916
arxiv,80000_ada_rope,5120,91.98802638249964
github,80000_ada_rope,5120,63.06909318068386
pg19,80000_ada_rope,6144,165.64928592534758
arxiv,80000_ada_rope,6144,110.35868441186277
github,80000_ada_rope,6144,78.28386762789226

pg19,rope,1024,21.081635570943064
arxiv,rope,1024,6.5222503643949805
github,rope,1024,3.46873395477536
pg19,rope,2048,44.90972482460205
arxiv,rope,2048,15.019002815141583
github,rope,2048,8.549724475898378
pg19,rope,3072,110.95196782974521
arxiv,rope,3072,45.77382169239196
github,rope,3072,30.95927095906183
