pg19,ada_rope,1024,26.29920316920707
arxiv,ada_rope,1024,7.607901976337705
github,ada_rope,1024,4.1567975730604765
pg19,ada_rope,2048,57.15586954881909
arxiv,ada_rope,2048,21.555921912969165
github,ada_rope,2048,12.379046905159623
pg19,ada_rope,3072,92.98403277122675
arxiv,ada_rope,3072,47.779227633819275
github,ada_rope,3072,29.645832694349725
pg19,ada_rope,4096,127.35611881038571
arxiv,ada_rope,4096,78.31982337926125
github,ada_rope,4096,52.40079017630082
pg19,ada_rope,5120,155.09973110403362
arxiv,ada_rope,5120,107.5089049496297
github,ada_rope,5120,75.19595551330274
pg19,ada_rope,6144,178.14878908236318
arxiv,ada_rope,6144,133.8943234093198
github,ada_rope,6144,97.58527621004845
